pricing,bed,bath,sqft,plot_size,address,PublicSymbol,PrivateSymbol
"$1,999,900",6,3.5,"3,594","2,180",1831 mintwood pl nw,NonLead,Lead
"$1,999,900",8,4.5,"3,594","2,180",1831 mintwood pl nw,NonLead,Lead
"$3,490,000",4,4.5,"4,692","4,825",2426 tracy pl nw,NonLead,NonLead
"$575,000",3,2,"2,125","3,882",3717 22nd st ne,NonLead,NonLead
"$669,900",4,3,"2,336","5,144",3473 massachusetts ave se,NonLead,NonLead
"$650,000",3,1.5+,"2,280","2,737",5720 3rd pl nw,NonLead,NonLead
"$2,295,000",5,3.5,"3,614","7,500",4522 lowell st nw,NonLead,NonLead
"$825,000",2,2,"1,014",871,427 12th st se,NonLead,NonLead
"$490,000",3,2.5,"1,700","4,472",4905 8th st ne,NonLead,NonLead
"$444,573",3,3,"1,637",675,668 kenneth st ne,NonLead,NonLead
"$444,573",3,3,"1,637",675,668 kenneth st ne,NonLead,NonLead
"$499,000",4,2,"2,667","2,875",4604 blaine st ne,NonLead,NonLead
"$499,000",4,2,"2,667","2,875",4604 blaine st ne,NonLead,NonLead
"$1,695,000",7,3.5,"3,750","3,488",2928 upton st nw,NonLead,NonLead
"$500,000",4,2,"1,335","3,759",2907 carlton ave ne,NonLead,NonLead
"$900,000",3,1.5,"1,382","1,058",1844 8th st nw,NonLead,NonLead
"$620,000",3,2,"1,760","3,600",1834 capitol ave ne,NonLead,NonLead
"$2,495,000",6,3.5+,"2,733","1,135",301 maryland ave ne,NonLead,NonLead
"$1,249,000",4,3.5,"2,240","1,560",608 h st sw,NonLead,NonLead
"$1,000,000",3,2.5,"1,500",803,1416 3rd st nw,NonLead,NonLead
"$1,100,000",5,0.5+,"1,305","1,494",1230 17th st nw,NonLead,NonLead
"$265,000",2,1.5,"1,090","2,149",3113 20th st se,NonLead,NonLead
"$2,500,000",3,2,"1,156","1,152",1521 11th st nw,NonLead,NonLead
"$438,800",4,2,"1,190","2,313",4214 edson pl ne,NonLead,NonLead
"$2,093,000",4,3.5,"2,830","2,338",717 massachusetts ave ne,Lead,Lead
"$3,300,000",5,5.5,"4,265","2,555",3726 r st nw,NonLead,NonLead
"$595,000",4,4.5,"2,306","4,892",3219 5th st se,Lead,Lead
"$5,245,000",5,6.5,"5,216","2,644",2122 s st nw,NonLead,NonLead
"$435,000",2,2,"1,664","1,474",329 35th st ne,NonLead,NonLead
"$819,900",3,2,"1,814","2,745",1225 randolph st nw,NonLead,NonLead
"$435,000",3,3,"1,930","3,760",210 division ave ne,NonLead,NonLead
"$1,599,900",5,3.5,"3,637","2,540",4215 16th st nw,Lead,Lead
"$4,700,000",5,6.5,"8,159",0.25,2708 44th st nw,NonLead,NonLead
"$3,495,000",5,6.5,"4,210","9,609",1816 45th st nw,NonLead,NonLead
"$2,195,000",4,3.5,"2,316","2,381",1652 33rd st nw,NonLead,NonLead
"$749,000",8,,"3,044","4,182",1508 v st se,NonLead,NonLead
"$849,900",4,3.5,"2,576","6,300",1719 evarts st ne,NonLead,NonLead
"$875,000",4,3.5,"1,704","3,768",1386 nicholson st nw,Lead,Lead
"$499,500",5,3,"2,280","3,806",3671 camden st se,NonLead,NonLead
"$945,000",3,3.5,"1,801","1,000",1008 fairmont st nw,NonLead,Lead
"$325,000",5,2.5,"1,454","5,423",3338 brothers pl se,NonLead,NonLead
"$1,125,000",4,,"2,856","2,178",3602 13th st nw,NonLead,NonLead
"$1,599,000",5,4.5,"3,272","4,375",1634 nicholson st nw,Lead,Lead
"$1,365,000",4,3.5,"2,335","1,043",1928 6th st nw,NonLead,Lead
"$750,000",3,2,"1,855","6,795",6118 sligo mill rd ne,NonLead,NonLead
"$750,000",3,2,"1,855","6,795",6118 sligo mill rd ne,NonLead,NonLead
